4 single  DEGREE_CHANGE not well-formed (invalid token): line 1, column 38
665 group 6 ADVERB_WORD_ORDER no element found: line 1, column 0
666 group 7 ADVERB_WORD_ORDER no element found: line 1, column 0
667 group 8 ADVERB_WORD_ORDER no element found: line 1, column 0
668 group 9 ADVERB_WORD_ORDER no element found: line 1, column 0
669 group 10 ADVERB_WORD_ORDER no element found: line 1, column 0
670 single  GOING_TO_VBD not well-formed (invalid token): line 1, column 43
698 group 1 AGREEMENT_THEIR_HIS no element found: line 1, column 0
699 group 2 AGREEMENT_THEIR_HIS no element found: line 1, column 0
746 single  A_HUNDREDS not well-formed (invalid token): line 1, column 45
803 group 1 IN_1990s no element found: line 1, column 0
804 group 2 IN_1990s no element found: line 1, column 0
805 single  IN_PAST not well-formed (invalid token): line 1, column 39
836 group 1 ALLOW_TO no element found: line 1, column 0
837 group 2 ALLOW_TO no element found: line 1, column 0
841 group 1 ADMIT_ENJOY_VB no element found: line 1, column 0
842 group 2 ADMIT_ENJOY_VB no element found: line 1, column 0
843 group 3 ADMIT_ENJOY_VB no element found: line 1, column 0
844 group 4 ADMIT_ENJOY_VB no element found: line 1, column 0
845 group 5 ADMIT_ENJOY_VB no element found: line 1, column 0
846 group 6 ADMIT_ENJOY_VB no element found: line 1, column 0
847 group 7 ADMIT_ENJOY_VB no element found: line 1, column 0
871 single  LESS_COMPARATIVE not well-formed (invalid token): line 1, column 52
872 single  LEAST_COMPARATIVE not well-formed (invalid token): line 1, column 52
875 group 2 THE_SUPERLATIVE no element found: line 1, column 0
876 group 3 THE_SUPERLATIVE no element found: line 1, column 0
877 group 4 THE_SUPERLATIVE no element found: line 1, column 0
878 group 5 THE_SUPERLATIVE no element found: line 1, column 0
894 group 1 NON3PRS_VERB no element found: line 1, column 0
895 group 2 NON3PRS_VERB no element found: line 1, column 0
896 group 3 NON3PRS_VERB no element found: line 1, column 0
897 group 4 NON3PRS_VERB no element found: line 1, column 0
898 group 5 NON3PRS_VERB no element found: line 1, column 0
899 group 6 NON3PRS_VERB no element found: line 1, column 0
900 group 7 NON3PRS_VERB no element found: line 1, column 0
901 group 8 NON3PRS_VERB no element found: line 1, column 0
902 group 9 NON3PRS_VERB no element found: line 1, column 0
903 group 10 NON3PRS_VERB no element found: line 1, column 0
904 group 11 NON3PRS_VERB no element found: line 1, column 0
908 group 1 HE_VERB_AGR no element found: line 1, column 0
909 group 2 HE_VERB_AGR no element found: line 1, column 0
910 group 3 HE_VERB_AGR no element found: line 1, column 0
911 group 4 HE_VERB_AGR no element found: line 1, column 0
912 group 5 HE_VERB_AGR no element found: line 1, column 0
913 group 6 HE_VERB_AGR no element found: line 1, column 0
914 group 7 HE_VERB_AGR no element found: line 1, column 0
915 group 8 HE_VERB_AGR no element found: line 1, column 0
916 group 9 HE_VERB_AGR no element found: line 1, column 0
917 group 10 HE_VERB_AGR no element found: line 1, column 0
918 group 11 HE_VERB_AGR no element found: line 1, column 0
919 group 12 HE_VERB_AGR no element found: line 1, column 0
927 group 1 CANT_HELP_BUT no element found: line 1, column 0
928 group 2 CANT_HELP_BUT no element found: line 1, column 0
958 single  A_LOT_OF_NN not well-formed (invalid token): line 1, column 30
959 single  LOTS_OF_NN not well-formed (invalid token): line 1, column 30
961 single  INCORRECT_POSSESSIVE_FORM_AFTER_A_NUMBER not well-formed (invalid token): line 1, column 57
962 single  CD_DOZENS_OF not well-formed (invalid token): line 1, column 47
978 group 1 DOUBLE_NEGATIVE no element found: line 1, column 0
979 group 2 DOUBLE_NEGATIVE no element found: line 1, column 0
980 group 3 DOUBLE_NEGATIVE no element found: line 1, column 0
981 group 4 DOUBLE_NEGATIVE no element found: line 1, column 0
982 group 5 DOUBLE_NEGATIVE no element found: line 1, column 0
983 group 6 DOUBLE_NEGATIVE no element found: line 1, column 0
984 group 7 DOUBLE_NEGATIVE no element found: line 1, column 0
988 group 1 SENTENCE_FRAGMENT no element found: line 1, column 0
989 group 2 SENTENCE_FRAGMENT no element found: line 1, column 0
990 group 3 SENTENCE_FRAGMENT no element found: line 1, column 0
991 group 4 SENTENCE_FRAGMENT no element found: line 1, column 0
992 group 5 SENTENCE_FRAGMENT no element found: line 1, column 0
993 group 6 SENTENCE_FRAGMENT no element found: line 1, column 0
994 group 7 SENTENCE_FRAGMENT no element found: line 1, column 0
995 group 8 SENTENCE_FRAGMENT no element found: line 1, column 0
997 single  REGARDING_TO not well-formed (invalid token): line 1, column 50
1001 group 1 MEAN_FOR_TO no element found: line 1, column 0
1002 group 2 MEAN_FOR_TO no element found: line 1, column 0
1006 single  EVERY_EACH_SINGULAR not well-formed (invalid token): line 1, column 42
1021 single  AN_ANOTHER not well-formed (invalid token): line 1, column 60
1026 single  PEAK_PIQUE not well-formed (invalid token): line 1, column 38
1030 single  HAVE_CD_YEARS not well-formed (invalid token): line 1, column 44
1042 group 2 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1043 group 3 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1044 group 4 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1045 group 5 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1046 group 6 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1047 group 7 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1048 group 8 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1049 group 9 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1050 group 10 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1051 group 11 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1052 group 12 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1053 group 13 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1054 group 14 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1055 group 15 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1056 group 16 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1057 group 17 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1058 group 18 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1059 group 19 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1060 group 20 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1061 group 21 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1062 group 22 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1063 group 23 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1064 group 24 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1065 group 25 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1066 group 26 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1067 group 27 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1068 group 28 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1069 group 29 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1070 group 30 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1071 group 31 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1072 group 32 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1073 group 33 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1074 group 34 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1075 group 35 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1076 group 36 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1077 group 37 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1078 group 38 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1079 group 39 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1080 group 40 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1081 group 41 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1082 group 42 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1083 group 43 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1084 group 44 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1085 group 45 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1086 group 46 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1087 group 47 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1088 group 48 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1089 group 49 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1090 group 50 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1091 group 51 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1092 group 52 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1093 group 53 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1094 group 54 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1095 group 55 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1096 group 56 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1097 group 57 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1098 group 58 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1099 group 59 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1100 group 60 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1101 group 61 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1102 group 62 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1103 group 63 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1104 group 64 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1105 group 65 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1106 group 66 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1107 group 67 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1108 group 68 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1109 group 69 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1110 group 70 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1111 group 71 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1112 group 72 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1113 group 73 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1114 group 74 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1115 group 75 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1116 group 76 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1117 group 77 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1118 group 78 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1119 group 79 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1120 group 80 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1121 group 81 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1122 group 82 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1123 group 83 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1124 group 84 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1125 group 85 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1126 group 86 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1127 group 87 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1128 group 88 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1129 group 89 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1130 group 90 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1131 group 91 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1132 group 92 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1133 group 93 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1134 group 94 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1135 group 95 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1136 group 96 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1137 group 97 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1138 group 98 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1139 group 99 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1140 group 100 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1141 group 101 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1142 group 102 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1143 group 103 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1144 group 104 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1145 group 105 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1146 group 106 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1147 group 107 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1148 group 108 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1149 group 109 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1150 group 110 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1151 group 111 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1152 group 112 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1153 group 113 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1154 group 114 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1155 group 115 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1156 group 116 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1157 group 117 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1158 group 118 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1159 group 119 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1160 group 120 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1161 group 121 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1162 group 122 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1163 group 123 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1164 group 124 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1165 group 125 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1166 group 126 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1167 group 127 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1168 group 128 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1169 group 129 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1170 group 130 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1171 group 131 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1172 group 132 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1173 group 133 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1174 group 134 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1175 group 135 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1176 group 136 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1177 group 137 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1178 group 138 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1179 group 139 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1180 group 140 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1181 group 141 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1182 group 142 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1183 group 143 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1184 group 144 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1185 group 145 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1186 group 146 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1187 group 147 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1188 group 148 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1189 group 149 COLLOCATION_ERRORS_BOKOMARU no element found: line 1, column 0
1194 group 2 DO_A_PARTY no element found: line 1, column 0
1195 group 3 DO_A_PARTY no element found: line 1, column 0
1198 group 2 IN_CHARGE_FOR no element found: line 1, column 0
1199 group 3 IN_CHARGE_FOR no element found: line 1, column 0
1202 group 2 DURING_OVER_THE_WEEKENDS no element found: line 1, column 0
1203 group 3 DURING_OVER_THE_WEEKENDS no element found: line 1, column 0
1204 group 4 DURING_OVER_THE_WEEKENDS no element found: line 1, column 0
1207 group 2 A_TRIP_TO no element found: line 1, column 0
1208 group 3 A_TRIP_TO no element found: line 1, column 0
1209 group 4 A_TRIP_TO no element found: line 1, column 0
1212 group 2 LISTEN_TO_MOVIES no element found: line 1, column 0
1213 group 3 LISTEN_TO_MOVIES no element found: line 1, column 0
1214 group 4 LISTEN_TO_MOVIES no element found: line 1, column 0
1217 group 2 IN_ON_THE_TEAM no element found: line 1, column 0
1218 group 3 IN_ON_THE_TEAM no element found: line 1, column 0
1219 group 4 IN_ON_THE_TEAM no element found: line 1, column 0
1222 group 2 ARRIVAL_TO_THE_HOUSE no element found: line 1, column 0
1223 group 3 ARRIVAL_TO_THE_HOUSE no element found: line 1, column 0
1226 group 2 COME_IN_CAR no element found: line 1, column 0
1227 group 3 COME_IN_CAR no element found: line 1, column 0
1230 group 2 GOOD_IN_AT no element found: line 1, column 0
1231 group 3 GOOD_IN_AT no element found: line 1, column 0
1232 group 4 GOOD_IN_AT no element found: line 1, column 0
1233 group 5 GOOD_IN_AT no element found: line 1, column 0
1234 group 6 GOOD_IN_AT no element found: line 1, column 0
1235 group 7 GOOD_IN_AT no element found: line 1, column 0
1236 group 8 GOOD_IN_AT no element found: line 1, column 0
1237 group 9 GOOD_IN_AT no element found: line 1, column 0
1240 group 2 EXCEPTION_OF_TO no element found: line 1, column 0
1241 group 3 EXCEPTION_OF_TO no element found: line 1, column 0
1250 single  FOR_NOUN_SAKE not well-formed (invalid token): line 1, column 41
1279 group 1 SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA no element found: line 1, column 0
1280 group 2 SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA no element found: line 1, column 0
1289 group 2 DASH_RULE no element found: line 1, column 0
1290 group 3 DASH_RULE no element found: line 1, column 0
1291 group 4 DASH_RULE no element found: line 1, column 0
1292 group 5 DASH_RULE no element found: line 1, column 0
1304 group 0 DESERT_DESSERT no element found: line 1, column 0
1305 group 0 PRECEDENT_PRECEDENCE no element found: line 1, column 0
1307 group 1 LOG_IN no element found: line 1, column 0
1308 group 2 LOG_IN no element found: line 1, column 0
1315 group 1 RATIONAL_RATIONALE no element found: line 1, column 0
1316 group 2 RATIONAL_RATIONALE no element found: line 1, column 0
1319 group 2 CLEAN_UP no element found: line 1, column 0
1320 group 3 CLEAN_UP no element found: line 1, column 0
1339 single  CONFUSION_AWAIT_WAIT not well-formed (invalid token): line 1, column 38
1347 single  COULD_OF not well-formed (invalid token): line 1, column 81
1392 group 1 GIVE_ADVISE no element found: line 1, column 0
1393 group 2 GIVE_ADVISE no element found: line 1, column 0
1394 group 3 GIVE_ADVISE no element found: line 1, column 0
1395 group 4 GIVE_ADVISE no element found: line 1, column 0
1396 single  ADVICE_ADVISE not well-formed (invalid token): line 1, column 38
1427 single  MASSAGE_MESSAGE not well-formed (invalid token): line 1, column 38
1432 group 1 BREATHE_BREATH no element found: line 1, column 0
1433 group 2 BREATHE_BREATH no element found: line 1, column 0
1434 group 3 BREATHE_BREATH no element found: line 1, column 0
1435 group 4 BREATHE_BREATH no element found: line 1, column 0
1439 single  AIRPLANE_HANGER not well-formed (invalid token): line 1, column 38
1441 single  MINUETS not well-formed (invalid token): line 1, column 38
1442 single  LAWSUIT not well-formed (invalid token): line 1, column 41
1473 single  DEFUSE_BOMB not well-formed (invalid token): line 1, column 38
1489 single  BELIEVE_BELIEF not well-formed (invalid token): line 1, column 38
1490 single  BELIEF_BELIEVE not well-formed (invalid token): line 1, column 38
1492 group 1 COARSE_COURSE no element found: line 1, column 0
1493 group 2 COARSE_COURSE no element found: line 1, column 0
1514 group 1 AFFECT_EFFECT no element found: line 1, column 0
1515 group 2 AFFECT_EFFECT no element found: line 1, column 0
1516 group 3 AFFECT_EFFECT no element found: line 1, column 0
1517 group 4 AFFECT_EFFECT no element found: line 1, column 0
1518 group 5 AFFECT_EFFECT no element found: line 1, column 0
1519 group 6 AFFECT_EFFECT no element found: line 1, column 0
1520 group 7 AFFECT_EFFECT no element found: line 1, column 0
1521 group 8 AFFECT_EFFECT no element found: line 1, column 0
1522 group 9 AFFECT_EFFECT no element found: line 1, column 0
1523 group 10 AFFECT_EFFECT no element found: line 1, column 0
1524 group 11 AFFECT_EFFECT no element found: line 1, column 0
1525 group 12 AFFECT_EFFECT no element found: line 1, column 0
1526 group 13 AFFECT_EFFECT no element found: line 1, column 0
1527 group 14 AFFECT_EFFECT no element found: line 1, column 0
