example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""What""><marker>How</marker> is your new teacher like?</example>",How is your new teacher like?,group,0,TYPOS,Possible Typo,misspelling,WHAT_HOW,How (What) is he like?,
"<example correction=""What""><marker>How</marker> is it like to live in New York?</example>",How is it like to live in New York?,group,1,TYPOS,Possible Typo,misspelling,WHAT_HOW,How (What) is he like?,
"<example correction=""than"">It may be more expensive on some file systems <marker>then</marker> others.</example>",It may be more expensive on some file systems then others.,group,0,TYPOS,Possible Typo,misspelling,CONFUSION_OF_THEN_THAN,then (than),
"<example correction=""than"">She knows more <marker>then</marker> her colleagues.</example>",She knows more then her colleagues.,group,1,TYPOS,Possible Typo,misspelling,CONFUSION_OF_THEN_THAN,then (than),
"<example correction=""these"">Are <marker>theses</marker> scenes from a novel?</example>",Are theses scenes from a novel?,single,,TYPOS,Possible Typo,misspelling,CONFUSION_OF_THESES_THESE,theses (these),
"<example correction=""I"">Tim and <marker>me</marker> work together.</example>",Tim and me work together.,group,0,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),
"<example correction=""me"">He gave it to Tim and <marker>I</marker>.</example>",He gave it to Tim and I.,group,1,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),
"<example correction=""He""><marker>Him</marker> and I cheated on the test.</example>",Him and I cheated on the test.,group,2,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),
"<example correction=""She""><marker>Her</marker> and I cheated on the test.</example>",Her and I cheated on the test.,group,3,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),
"<example correction=""I"">My mother and <marker>me</marker> went to California.</example>",My mother and me went to California.,group,4,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),
"<example correction=""being"">Stop <marker>been</marker> funny!</example>",Stop been funny!,group,0,TYPOS,Possible Typo,misspelling,CONFUSION_OF_BEEN_BEING,been (being),
"<example correction=""being"">What doctrine are they <marker>been</marker> taught?</example>",What doctrine are they been taught?,group,1,TYPOS,Possible Typo,misspelling,CONFUSION_OF_BEEN_BEING,been (being),
"<example correction=""our"">We evaluated <marker>out</marker> method by running RASP.</example>",We evaluated out method by running RASP.,single,,TYPOS,Possible Typo,misspelling,CONFUSION_OF_OUR_OUT,out (our),
"<example correction=""you"">If it's running, <marker>your</marker> should deactivate it.</example>","If it's running, your should deactivate it.",single,,TYPOS,Possible Typo,misspelling,YOUR_SHOULD,your (you) should,
"<example correction=""same"">It happened on the <marker>some</marker> day.</example>",It happened on the some day.,single,,TYPOS,Possible Typo,misspelling,THE_SOME_DAY,the some (same) day,
"<example correction=""use"">He made <marker>us</marker> of the new tools.</example>",He made us of the new tools.,single,,TYPOS,Possible Typo,misspelling,MAKE_US_OF,make us (use) of,
"<example correction=""one"">It's <marker>on</marker> of the most popular songs.</example>",It's on of the most popular songs.,group,0,TYPOS,Possible Typo,misspelling,ON_OF_THE,on (one) of the most/least/...,
"<example correction=""one"">It's <marker>on</marker> of the loudest songs.</example>",It's on of the loudest songs.,group,1,TYPOS,Possible Typo,misspelling,ON_OF_THE,on (one) of the most/least/...,
,,group,0,TYPOS,Possible Typo,misspelling,APART_A_PART,"apart of (a part of, apart from)",
"<example correction=""a part of|apart from"">I'd like to be <marker>apart of</marker> your team.</example>",I'd like to be apart of your team.,group,1,TYPOS,Possible Typo,misspelling,APART_A_PART,"apart of (a part of, apart from)",
<example>Lebanon's freedoms set it apart from other Arab states.</example>,Lebanon's freedoms set it apart from other Arab states.,group,2,TYPOS,Possible Typo,misspelling,APART_A_PART,"apart of (a part of, apart from)",
<example>Lebanon's freedoms set it apart from other Arab states.</example>,Lebanon's freedoms set it apart from other Arab states.,single,,TYPOS,Possible Typo,misspelling,APART_FORM,apart form (apart from),
<example>This is the Carmen up to <marker>Data</marker>.</example>,This is the Carmen up to Data.,single,,TYPOS,Possible Typo,misspelling,UP_TO_DATA,up to data (date),
"<example correction=""could"">This is all he <marker>cold</marker> do.</example>",This is all he cold do.,group,0,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),
"<example correction=""could"">This is all my father <marker>cold</marker> do.</example>",This is all my father cold do.,group,1,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),
"<example correction=""Could""><marker>Cold</marker> you hear him?</example>",Cold you hear him?,group,2,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),
"<example correction=""Could""><marker>Cold</marker> her father hear him?</example>",Cold her father hear him?,group,3,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),
"<example correction=""free"">Feel <marker>tree</marker> to add it to the list.</example>",Feel tree to add it to the list.,single,,TYPOS,Possible Typo,misspelling,FEEL_TREE_TO,feel tree (free) to,
"<example correction=""way"">What is the fastest <marker>was</marker> to learn Spanish?</example>",What is the fastest was to learn Spanish?,single,,TYPOS,Possible Typo,misspelling,EASIEST_WAS_TO,easiest was (way) to,
"<example correction=""et al."">Thelen <marker>et al</marker> 2001</example>",Thelen et al 2001,group,0,TYPOS,Possible Typo,misspelling,ET_AL,et al (et al.),
"<example correction=""et al."">Thelen <marker>et. al.</marker> 2001</example>",Thelen et. al. 2001,group,1,TYPOS,Possible Typo,misspelling,ET_AL,et al (et al.),
"<example correction=""are still the same|are still some"">That means that tires <marker>are still the some</marker> of the most important components of your vehicle.</example>",That means that tires are still the some of the most important components of your vehicle.,single,,TYPOS,Possible Typo,misspelling,ARE_STILL_THE_SOME,are still the some (same),
"<example correction=""de jure"">There is no <marker>de juro</marker> segregation allowed by law anywhere in the United States.</example>",There is no de juro segregation allowed by law anywhere in the United States.,single,,TYPOS,Possible Typo,misspelling,DE_JURO,de juro (jure),
"<example correction=""think"">I <marker>thin</marker> you are right.</example>",I thin you are right.,single,,TYPOS,Possible Typo,misspelling,I_THIN,I thin (think),
"<example correction=""supposed"">What jar is this <marker>suppose</marker> to be coming from?</example>",What jar is this suppose to be coming from?,single,,TYPOS,Possible Typo,misspelling,SUPPOSE_TO,suppose to (supposed to),
"<example correction=""albeit"">The good news is that there are several redeeming factors to (<marker>all be it</marker> barely).</example>",The good news is that there are several redeeming factors to (all be it barely).,single,,TYPOS,Possible Typo,misspelling,ALL_BE_IT,all be it (albeit),
"<example correction=""all over the world"">The company employs over 25 000 people <marker>all over the word</marker>.</example>",The company employs over 25 000 people all over the word.,single,,TYPOS,Possible Typo,misspelling,ALL_OVER_THE_WORD,all over the word (all over the world),
"<example correction=""In other words""><marker>Another words</marker>, he is an ideal husband.</example>","Another words, he is an ideal husband.",single,,TYPOS,Possible Typo,misspelling,ANOTHER_WORDS,another words (in other words),
"<example correction=""begin"">To <marker>being</marker> with, she is a Russian spy.</example>","To being with, she is a Russian spy.",group,0,TYPOS,Possible Typo,misspelling,BEING_BEGIN,being (begin),
"<example correction=""being"">I was willing to risk <marker>begin</marker> interrogated about what I was going to do with the information.</example>",I was willing to risk begin interrogated about what I was going to do with the information.,group,1,TYPOS,Possible Typo,misspelling,BEING_BEGIN,being (begin),
"<example correction=""can"">What <marker>ca</marker> I do?</example>",What ca I do?,group,0,TYPOS,Possible Typo,misspelling,CA_PRP,ca I (can I),
"<example correction=""can"">You <marker>ca</marker> do it!</example>",You ca do it!,group,1,TYPOS,Possible Typo,misspelling,CA_PRP,ca I (can I),
"<example correction=""eyelids"">Calcium deposits on <marker>eye lids</marker></example>",Calcium deposits on eye lids,single,,TYPOS,Possible Typo,misspelling,EYE_BROW,eye brow/lash/lid/sight/sore (eyebrow/eyelash/eyelid/eyesight/eyesore),
"<example correction=""in any form"">Do not duplicate or redistribute <marker>in any from</marker>.</example>",Do not duplicate or redistribute in any from.,group,0,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,
"<example correction=""form"">Fill in this <marker>from</marker>.</example>",Fill in this from.,group,1,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,
"<example correction=""form"">Type in the <marker>from</marker> on the web page.</example>",Type in the from on the web page.,group,2,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,
"<example correction=""from"">I got a letter <marker>form</marker> my friend.</example>",I got a letter form my friend.,group,3,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,
"<example correction=""exists"">There <marker>exits</marker> an α-evaluating homomorphism π.</example>",There exits an α-evaluating homomorphism π.,single,,TYPOS,Possible Typo,misspelling,THERE_EXITS,there exits (there exists),
"<example correction=""the"">At <marker>he</marker> beginning, I was afraid.</example>","At he beginning, I was afraid.",group,0,TYPOS,Possible Typo,misspelling,HE_THE,he (the),
"<example correction=""how"">These are also examples of <marker>the how</marker> a woman's perspective can contribute to science.</example>",These are also examples of the how a woman's perspective can contribute to science.,single,,TYPOS,Possible Typo,misspelling,THE_HOW,the how/why (how/why),
<example>Now I'm driving.</example>,Now I'm driving.,group,0,TYPOS,Possible Typo,misspelling,I_LOWERCASE,i'm (I'm),
<example>Now I am driving.</example>,Now I am driving.,group,1,TYPOS,Possible Typo,misspelling,I_LOWERCASE,i'm (I'm),
"<example correction=""On February""><marker>In February</marker> 21, we ate the poison.</example>","In February 21, we ate the poison.",single,,TYPOS,Possible Typo,misspelling,IN_JANUARY,in January 1 (on January 1),
"<example correction=""in parentheses"">This is indicated by the number not <marker>in parenthesis</marker>.</example>",This is indicated by the number not in parenthesis.,single,,TYPOS,Possible Typo,misspelling,IN_PARENTHESIS,in parenthesis (in parentheses),
"<example correction=""instead of"">Can my car really use water <marker>in stead of</marker> gas?</example>",Can my car really use water in stead of gas?,single,,TYPOS,Possible Typo,misspelling,IN_STEAD_OF,in stead of (instead of),
<example>Trendy T-shirts lacking in tact</example>,Trendy T-shirts lacking in tact,single,,TYPOS,Possible Typo,misspelling,IN_TACT,in tact (intact),
"<example correction=""itself"">I believe that such advertisements indicate a clear statement about the issue <marker>it self</marker> and they clarify the main cause of the problem.</example>",I believe that such advertisements indicate a clear statement about the issue it self and they clarify the main cause of the problem.,single,,TYPOS,Possible Typo,misspelling,IT_SELF,it self (itself),
"<example correction=""got"">I've <marker>go</marker> to go.</example>",I've go to go.,single,,TYPOS,Possible Typo,misspelling,VE_GO_TO,I've go to (I've got to),
"<example correction=""for a long time"">I have been interested in Wicca <marker>for along time</marker>.</example>",I have been interested in Wicca for along time.,single,,TYPOS,Possible Typo,misspelling,FOR_ALONG_TIME,for along time (for a long time),
"<example correction=""a while"">I haven't posted in <marker>awhile</marker>.</example>",I haven't posted in awhile.,group,0,TYPOS,Possible Typo,misspelling,FOR_AWHILE,awhile (a while),
"<example correction=""a while"">I haven't posted in quite <marker>awhile</marker>.</example>",I haven't posted in quite awhile.,group,1,TYPOS,Possible Typo,misspelling,FOR_AWHILE,awhile (a while),
"<example correction=""away from"">He is <marker>away fro</marker> the sea.</example>",He is away fro the sea.,single,,TYPOS,Possible Typo,misspelling,AWAY_FRO,away fro (away from),
"<example correction=""for|from"">I got a voicemail <marker>fro</marker> Ken.</example>",I got a voicemail fro Ken.,single,,TYPOS,Possible Typo,misspelling,FOR_FRO,fro (for),
"<example correction=""human beings"">We are all <marker>human's beings</marker>.</example>",We are all human's beings.,group,0,TYPOS,Possible Typo,misspelling,HUMANS_BEINGS,humans beings (human beings),
"<example correction=""human beings"">We are all <marker>humans beings</marker>.</example>",We are all humans beings.,group,1,TYPOS,Possible Typo,misspelling,HUMANS_BEINGS,humans beings (human beings),
"<example correction=""Last but not least""><marker>Last but not last</marker>, I accentuate difficulties that such theories face.</example>","Last but not last, I accentuate difficulties that such theories face.",single,,TYPOS,Possible Typo,misspelling,LAST_BUT_NOT_LAST,last but not last (least),
"<example correction=""hour"">It happened half an <marker>our</marker> ago.</example>",It happened half an our ago.,group,0,TYPOS,Possible Typo,misspelling,HOUR_OUR,half an our (half an hour),
"<example correction=""one and the same"">Our town is a place where neighbours and friends are <marker>one in the same</marker>.</example>",Our town is a place where neighbours and friends are one in the same.,single,,TYPOS,Possible Typo,misspelling,ONE_IN_THE_SAME,one in the same (one and the same),
"<example correction=""On""><marker>One</marker> the one hand, he was rich.</example>","One the one hand, he was rich.",single,,TYPOS,Possible Typo,misspelling,ONE_THE_ONE_HAND,'One the one hand' (On the one hand),
"<example correction=""Otherwise""><marker>Other wise</marker> it's not true.</example>",Other wise it's not true.,single,,TYPOS,Possible Typo,misspelling,OTHER_WISE_OTHERWISE,other wise (otherwise),
"<example correction=""per se"">Not a car lover <marker>per say</marker>…</example>",Not a car lover per say…,single,,TYPOS,Possible Typo,misspelling,PER_SE,per say (per se),
"<example correction=""Somewhat""><marker>Some what</marker> disappointed</example>",Some what disappointed,single,,TYPOS,Possible Typo,misspelling,SOME_WHAT_JJ,some what (somewhat),
"<example correction=""standalone"">This is a <marker>stand alone</marker> computer.</example>",This is a stand alone computer.,single,,TYPOS,Possible Typo,misspelling,STAND_ALONE_NN,stand alone (standalone),
"<example correction=""Underwear"">Designer's <marker>Under Wear</marker></example>",Designer's Under Wear,single,,TYPOS,Possible Typo,misspelling,UNDER_WEAR,under wear (underwear),
"<example correction=""whereas"">The northern and urban areas of the state do not generally offer sweet tea in the most restaurants, <marker>where as</marker> it is a staple beverage for the southern part ...</example>","The northern and urban areas of the state do not generally offer sweet tea in the most restaurants, where as it is a staple beverage for the southern part ...",single,,TYPOS,Possible Typo,misspelling,WHERE_AS,where as/by (whereas/whereby),
"<example correction=""Without""><marker>Without out</marker> a doubt, the internet's power is mighty and far-reaching.</example>","Without out a doubt, the internet's power is mighty and far-reaching.",single,,TYPOS,Possible Typo,misspelling,WITHOUT_OUT,without out (without),
"<example correction=""your|yours"">It's not mine, it's <marker>your's</marker>.</example>","It's not mine, it's your's.",single,,TYPOS,Possible Typo,misspelling,YOUR_S,your's (yours),
"<example correction=""yours"">This house is <marker>yours'</marker>.</example>",This house is yours'.,single,,TYPOS,Possible Typo,misspelling,YOURS_APOSTROPHE,Possessive pronoun with apostrophe,
<example>He'll be sailing around the world in two weeks' time.</example>,He'll be sailing around the world in two weeks' time.,single,,TYPOS,Possible Typo,misspelling,CD_WEEK_S,Number + 'week's time' (weeks' time),
<example>1933 World's Fair</example>,1933 World's Fair,group,0,TYPOS,Possible Typo,misspelling,CD_APOSTROPHE_S,Spurious apostrophe in plural forms,
"<example correction=""CDs"">I have many <marker>CD's</marker>.</example>",I have many CD's.,group,1,TYPOS,Possible Typo,misspelling,CD_APOSTROPHE_S,Spurious apostrophe in plural forms,
"<example correction=""to the"">The Hitchhiker's Guide <marker>tot he</marker> Galaxy</example>",The Hitchhiker's Guide tot he Galaxy,single,,TYPOS,Possible Typo,misspelling,TOT_HE,tot he (to the),
"<example correction=""Thank""><marker>Tank</marker> you very much!</example>",Tank you very much!,group,0,TYPOS,Possible Typo,misspelling,TANK_YOU,tank (thank) you,
"<example correction=""thanks"">The case went poorly <marker>tanks</marker> to the lawyer's incompetence.</example>",The case went poorly tanks to the lawyer's incompetence.,group,1,TYPOS,Possible Typo,misspelling,TANK_YOU,tank (thank) you,
"<example correction=""filled"">The gallery was <marker>filed</marker> with friends and family.</example>",The gallery was filed with friends and family.,group,0,TYPOS,Possible Typo,misspelling,FILED_WITH,filed (filled) with,
"<example correction=""without"">We must take the bus before it leaves <marker>with out</marker> us.</example>",We must take the bus before it leaves with out us.,single,,TYPOS,Possible Typo,misspelling,WITH_OUT,with out (without),
"<example correction=""not|now"">It is <marker>no</marker> possible.</example>",It is no possible.,group,0,TYPOS,Possible Typo,misspelling,IT_IS_NO,it is no (not/now),
"<example correction=""not|now"">It's <marker>no</marker> possible.</example>",It's no possible.,group,1,TYPOS,Possible Typo,misspelling,IT_IS_NO,it is no (not/now),
"<example correction=""not"">She could <marker>no</marker> hear you.</example>",She could no hear you.,group,0,TYPOS,Possible Typo,misspelling,NO_NOT,no (not),
"<example correction=""a lot of"">I've got <marker>allot of</marker> questions to you.</example>",I've got allot of questions to you.,single,,TYPOS,Possible Typo,misspelling,ALLOT_OF,allot of (a lot of),
"<example correction=""already"">I have <marker>all ready</marker> bought it.</example>",I have all ready bought it.,group,0,TYPOS,Possible Typo,misspelling,ALL_READY,all ready (already),
"<example correction=""already"">I've <marker>all ready</marker> bought it.</example>",I've all ready bought it.,group,1,TYPOS,Possible Typo,misspelling,ALL_READY,all ready (already),
"<example correction=""Almost""><marker>All most</marker> all the patents were rejected...</example>",All most all the patents were rejected...,single,,TYPOS,Possible Typo,misspelling,ALL_MOST,all most (almost),
"<example correction=""of"">An Analysis <marker>if</marker> Rock Music</example>",An Analysis if Rock Music,single,,TYPOS,Possible Typo,misspelling,ANALYSIS_IF,analysis if (of),
"<example correction=""is"">I wonder if the context <marker>if</marker> actually important.</example>",I wonder if the context if actually important.,group,0,TYPOS,Possible Typo,misspelling,IF_IS,if it if (is),
"<example correction=""is"">The rules are testes, which <marker>if</marker> quite fast.</example>","The rules are testes, which if quite fast.",group,1,TYPOS,Possible Typo,misspelling,IF_IS,if it if (is),
"<example correction=""bad"">Sorry for my <marker>bed</marker> English.</example>",Sorry for my bed English.,single,,TYPOS,Possible Typo,misspelling,BED_ENGLISH,bed/bat (bad) English/...,
"<example correction=""Wi-Fi""><marker>WiFi</marker> is a technology for wireless local area networking with devices based on the IEEE 802.11 standards.</example>",WiFi is a technology for wireless local area networking with devices based on the IEEE 802.11 standards.,single,,TYPOS,Possible Typo,misspelling,WIFI,WiFi (Wi-Fi),
<example>And <marker>then</marker> it became clear.</example>,And then it became clear.,single,,TYPOS,Possible Typo,misspelling,SENT_START_THEM,'Them (Then)' at sentence start,
<example>Some would think you <marker>are</marker> a fortunate man.</example>,Some would think you are a fortunate man.,single,,TYPOS,Possible Typo,misspelling,THINK_YOU_A,think you a/an (are),
"<example correction=""where"">Now, this is <marker>were</marker> my ignorance sets in.</example>","Now, this is were my ignorance sets in.",single,,TYPOS,Possible Typo,misspelling,IS_WERE,is were (where),
"<example correction=""or"">Type in one <marker>ore</marker> more words.</example>",Type in one ore more words.,single,,TYPOS,Possible Typo,misspelling,ONE_ORE,one ore (or),
"<example correction=""on"">She knew what was going <marker>one</marker>.</example>",She knew what was going one.,single,,TYPOS,Possible Typo,misspelling,GOING_ONE,going one (on),
"<example correction=""head"">She hit the nail on the <marker>hat</marker>.</example>",She hit the nail on the hat.,single,,TYPOS,Possible Typo,misspelling,NAIL_ON_THE_HEAD,nail on the hat (head),
"<example correction=""on"">She likes being <marker>of</marker> the shelf.</example>",She likes being of the shelf.,single,,TYPOS,Possible Typo,misspelling,ON_THE_SHELF,sit of (on) the shelf,
"<example correction=""through"">They came <marker>throw</marker> the door.</example>",They came throw the door.,single,,TYPOS,Possible Typo,misspelling,COME_THROUGH,come threw (through),
"<example correction=""very"">They were <marker>vary</marker> happy.</example>",They were vary happy.,single,,TYPOS,Possible Typo,misspelling,VARY_VERY,vary (very),
"<example correction=""whether"">She asked <marker>weather</marker> he knew her.</example>",She asked weather he knew her.,single,,TYPOS,Possible Typo,misspelling,WEATHER_WHETHER,weather (whether),
"<example correction=""sea|seeing"">We have spent the first night at <marker>see</marker>.</example>",We have spent the first night at see.,single,,TYPOS,Possible Typo,misspelling,SEE_SEA,see (sea),
"<example correction=""If|I,""><marker>I</marker> the data confirm my theory, I will be famous.</example>","I the data confirm my theory, I will be famous.",single,,TYPOS,Possible Typo,misspelling,I_IF,I (if),
"<example correction=""stationery"">The office junior is in charge of filling the <marker>stationary</marker> cupboard.</example>",The office junior is in charge of filling the stationary cupboard.,group,0,TYPOS,Possible Typo,misspelling,STATIONARY_STATIONERY,stationary (stationery),
"<example correction=""stationery"">Save 50% on all office <marker>stationary</marker>.</example>",Save 50% on all office stationary.,group,1,TYPOS,Possible Typo,misspelling,STATIONARY_STATIONERY,stationary (stationery),
"<example correction=""stationery"">The office junior is in charge of ordering our <marker>stationary</marker>.</example>",The office junior is in charge of ordering our stationary.,group,2,TYPOS,Possible Typo,misspelling,STATIONARY_STATIONERY,stationary (stationery),
"<example correction=""stationary"">The exact word which my doctor used was <marker>stationery</marker>.</example>",The exact word which my doctor used was stationery.,group,3,TYPOS,Possible Typo,misspelling,STATIONARY_STATIONERY,stationary (stationery),
"<example correction=""one"">The trash folder is the only <marker>on</marker> for me that works.</example>",The trash folder is the only on for me that works.,single,,TYPOS,Possible Typo,misspelling,THE_ONLY_ON,the only on (one),
<example>Am I An Atheist Or An Agnostic?</example>,Am I An Atheist Or An Agnostic?,single,,TYPOS,Possible Typo,misspelling,I_A,I a/an (am),
"<example correction=""note"">Please <marker>not</marker> that saying “Open Source” does not mean very much.</example>",Please not that saying “Open Source” does not mean very much.,single,,TYPOS,Possible Typo,misspelling,PLEASE_NOT_THAT,please not (note) that,
"<example correction=""not"">I'm <marker>note</marker> sure.</example>",I'm note sure.,group,0,TYPOS,Possible Typo,misspelling,I_AM_NOTE_SURE,I'm note (not) sure,
<example>I love nut oil!</example>,I love nut oil!,single,,TYPOS,Possible Typo,misspelling,NUT_NOT,nut (not),
"<example correction=""and so on"">We think it helps to find bottlenecks <marker>and so one</marker>.</example>",We think it helps to find bottlenecks and so one.,single,,TYPOS,Possible Typo,misspelling,AND_SO_ONE,and so one (on),
"<example correction=""throw"">Or we just <marker>through</marker> away all bugs.</example>",Or we just through away all bugs.,single,,TYPOS,Possible Typo,misspelling,THROUGH_AWAY,through (throw) away,
"<example correction=""was"">Or <marker>way</marker> that a very recent change in Qt?</example>",Or way that a very recent change in Qt?,single,,TYPOS,Possible Typo,misspelling,OR_WAY_IT,or way (was) it,
