type,group_id,category_id,category_name,category_type,rule_id,rule_name,message,error_type
single,,GRAMMAR,Grammar,grammar,POSSESSIVE_CASE,possessivee case after with(out)/at/in/to/...,"Did you mean \2 my, \2 her, \2 his, \2 our, or \2 their?",
single,,GRAMMAR,Grammar,grammar,WRONG_PRP_AT_SENT_START,incorrect pronoun as subject ('Her loves me.'),"Did you mean I, He, She, or They?",
single,,GRAMMAR,Grammar,grammar,TOO_ADJECTIVE_TO,too ADJECTIVE to,Did you mean \1o \2 \4?,
single,,GRAMMAR,Grammar,grammar,BASE_FORM,base form after I/you/we/they,Possible agreement error -- use base form here: .,
single,,GRAMMAR,Grammar,grammar,COLLECTIVE_NOUN_VERB_AGREEMENT_VBP,COLLECTIVE_NOUN_VERB_AGREEMENT_VBP,Possible agreement error,
single,,GRAMMAR,Grammar,grammar,COLLECTIVE_NOUN_VERB_AGREEMENT_VBD,a fleet of ships have (has),Possible agreement error,
group,0,GRAMMAR,Grammar,grammar,SINGULAR_VERB_AFTER_THESE_OR_THOSE,Singular verb after 'these' or 'those',The verb '\2' is singular. Did you mean: This  or  ?,
group,1,GRAMMAR,Grammar,grammar,SINGULAR_VERB_AFTER_THESE_OR_THOSE,Singular verb after 'these' or 'those',The verb '\3' is singular. Did you mean: \1 \2 ?,
group,2,GRAMMAR,Grammar,grammar,SINGULAR_VERB_AFTER_THESE_OR_THOSE,Singular verb after 'these' or 'those',The verb '\3' is singular. Did you mean the plural (are or were)?,
group,0,GRAMMAR,Grammar,grammar,THIS_NNS_VB,this + plural noun + verb (these),Did you mean these?,
group,1,GRAMMAR,Grammar,grammar,THIS_NNS_VB,this + plural noun + verb (these),Did you mean these?,
single,,GRAMMAR,Grammar,grammar,THESE_SINGULAR_NOUN,these + singular noun,Please check whether a plural form of '\2' should be used.,
single,,GRAMMAR,Grammar,grammar,PEOPLE_VBZ,people + 3rd person verb,"If 'people' is plural here, don't use the third-person singular verb.",
single,,GRAMMAR,Grammar,grammar,WE_RB_ARE_VB,we + ... + are + base form verb (gerund),Did you mean ?,
single,,GRAMMAR,Grammar,grammar,I_MOVING,personal pronoun + gerund,Please check if the base form of the verb should be used here.,
single,,GRAMMAR,Grammar,grammar,I_LIFE,I life (live),Possible agreement error -- use verb form: live.,
single,,GRAMMAR,Grammar,grammar,SOME_FACULTY,some faculty...  (some faculty members...),Use a plural noun after '' or use  members.,
single,,GRAMMAR,Grammar,grammar,NEITHER_NOR,neither X or Y (neither X nor Y),Use nor with neither.,
single,,GRAMMAR,Grammar,grammar,IS_EVEN_WORST,is even worst (worse),Probably incorrect use of superlative '\3'. Consider using the comparative form instead.,
group,0,GRAMMAR,Grammar,grammar,JJS_OF_ALL_OTHER,superlative + 'of all other',"Unless you have already specified someone or something as the \1 and are comparing the remaining items, 'other' should not be used in combination with a superlative. Please check whether 'other' can be removed.",
group,1,GRAMMAR,Grammar,grammar,JJS_OF_ALL_OTHER,superlative + 'of all other',"Unless you have already specified someone or something as the most \3 and are comparing the remaining items, 'other' should not be used in combination with a superlative. Please check whether 'other' can be removed.",
single,,GRAMMAR,Grammar,grammar,SOME_NN_VBP,'some' + sing. noun + verb,Did you mean ?,
single,,GRAMMAR,Grammar,grammar,IS_CAUSE_BY,is cause (caused) by,Did you mean caused?,
single,,GRAMMAR,Grammar,grammar,BE_INTEREST_IN,be interesting (interested) in,Did you mean interested?,
group,0,GRAMMAR,Grammar,grammar,TOO_EITHER,'too' in negation (either),"For negated sentences, use either instead of 'too'.",
group,1,GRAMMAR,Grammar,grammar,TOO_EITHER,'too' in negation (either),"For negated sentences, use either instead of 'too'.",
group,2,GRAMMAR,Grammar,grammar,TOO_EITHER,'too' in negation (either),"For negated sentences, use either instead of 'too'.",
single,,GRAMMAR,Grammar,grammar,PREFER_TO_VBG,prefer to [gerund] -> [base form],Did you mean ?,
single,,GRAMMAR,Grammar,grammar,VE_HAVING,'ve having -> 've been having,Did you mean  been having?,
single,,GRAMMAR,Grammar,grammar,HAVE_HAVING,have having -> have been having,Did you mean  been having?,
single,,GRAMMAR,Grammar,grammar,PRP_MD_CD_IN,Missing verb (some cases),Did you mean  use  or  be ?,
single,,GRAMMAR,Grammar,grammar,HAD_VBP,Had + verb present tense,Possible agreement error -- use past participle here: .,
single,,GRAMMAR,Grammar,grammar,I_AM,missing 'am' in 'I am',Did you mean I am?,
single,,GRAMMAR,Grammar,grammar,AM_I,missing 'I' in 'am I',Did you mean am I?,
group,0,GRAMMAR,Grammar,grammar,SHOULD_BE_DO,should be do (done),Did you mean  ?,
group,1,GRAMMAR,Grammar,grammar,SHOULD_BE_DO,should be do (done),Did you mean  ?,
group,0,GRAMMAR,Grammar,grammar,NEEDNT_TO_DO_AND_DONT_NEED_DO,needn't to do(do),Did you mean ?,
group,1,GRAMMAR,Grammar,grammar,NEEDNT_TO_DO_AND_DONT_NEED_DO,needn't to do(do),Did you mean ?,
group,2,GRAMMAR,Grammar,grammar,NEEDNT_TO_DO_AND_DONT_NEED_DO,needn't to do(do),Did you mean to ?,
group,3,GRAMMAR,Grammar,grammar,NEEDNT_TO_DO_AND_DONT_NEED_DO,needn't to do(do),Did you mean to ?,
single,,GRAMMAR,Grammar,grammar,IT_IS_JJ_TO_VBG,it is ... to doing (do),Did you mean ?,
single,,GRAMMAR,Grammar,grammar,BE_USE_TO_DO,be use (used) to,Did you mean ?,
group,0,GRAMMAR,Grammar,grammar,AT_TIME,wrong preposition with times 'on (at) 7:30 p.m.',Did you mean at?,
group,1,GRAMMAR,Grammar,grammar,AT_TIME,wrong preposition with times 'on (at) 7:30 p.m.',Did you mean at?,
group,0,GRAMMAR,Grammar,grammar,HAPPEN_TO,wrong preposition: 'happen with' (happen to),The verb 'happen' usually requires the preposition to.,
group,0,GRAMMAR,Grammar,grammar,DISCUSS_ABOUT,wrong preposition: 'discuss about something' (discuss something),Consider using \1 or  \2.,
single,,GRAMMAR,Grammar,grammar,ON_ADDITION,wrong preposition: 'On addition' (In addition),Did you mean in?,
single,,GRAMMAR,Grammar,grammar,LEARN_NNNNS_ON_DO,wrong preposition: 'learn sth on do' (to do),Did you mean to?,
single,,GRAMMAR,Grammar,grammar,ESSENTIAL_ESSENTIALLY,essentially,Did you mean essentially?,
single,,GRAMMAR,Grammar,grammar,GAVE_GIVE,verb before 'gave',Did you mean give?,
single,,GRAMMAR,Grammar,grammar,TO_WITHDRAWN,to/will before withdrawn,Did you mean withdraw?,
group,0,GRAMMAR,Grammar,grammar,AFFORD_VB,"'afford', 'choose', etc. used with base form instead of infinitive",This verb is used with the infinitive: to ,
group,1,GRAMMAR,Grammar,grammar,AFFORD_VB,"'afford', 'choose', etc. used with base form instead of infinitive",This verb is used with the infinitive: to ,
single,,GRAMMAR,Grammar,grammar,BE_FOND_TO,Wrong preposition: 'be fond to' (be fond of),Did you mean of?,
single,,GRAMMAR,Grammar,grammar,A_GREAT_NUMBER_OF_NN,a great number of + singular (plural),Did you mean ?,
single,,GRAMMAR,Grammar,grammar,MANY_KINDS_OF,many kinds of + singular noun,Did you mean ?,
single,,GRAMMAR,Grammar,grammar,THE_NN_AND_THE_NN,the ... and the ... is (are),Did you mean are?,
single,,GRAMMAR,Grammar,grammar,ARRIVE_NNP,'arrive' + proper noun ('arrive in' + proper noun),Did you mean arrive in or arrive at?,
single,,GRAMMAR,Grammar,grammar,WILL_LIKE_TO,'will like to' (would like to),Did you mean would?,
single,,GRAMMAR,Grammar,grammar,WHO_NOUN,Noun following 'who',A noun should not follow 'who'. Try changing to a verb or maybe to who is a \2.,
single,,GRAMMAR,Grammar,grammar,A_INFINITVE,a/the + infinitive,Maybe a wrong construction: a/the + infinitive,
single,,GRAMMAR,Grammar,grammar,BE_FINED_WITH,be fined with (be fine with),Did you mean fine?,
single,,GRAMMAR,Grammar,grammar,VERY_THANKS_THANKS_A_LOT,very thanks (thanks a lot),Did you mean thanks a lot or many thanks?,
group,0,GRAMMAR,Grammar,grammar,BETWEEN_PRP,between he and… (between him and…),Incorrect form of the pronoun 'he'. Use: \1 him.,
group,1,GRAMMAR,Grammar,grammar,BETWEEN_PRP,between he and… (between him and…),Incorrect form of the pronoun 'I'. Use: \1 me.,
group,2,GRAMMAR,Grammar,grammar,BETWEEN_PRP,between he and… (between him and…),Incorrect form of the pronoun '\2'. Use: \1 them.,
group,3,GRAMMAR,Grammar,grammar,BETWEEN_PRP,between he and… (between him and…),Incorrect form of the pronoun '\2'. Use: \1 her.,
group,0,GRAMMAR,Grammar,grammar,IN_WHO,Preposition + who (whom),,
group,1,GRAMMAR,Grammar,grammar,IN_WHO,Preposition + who (whom),Did you mean whom?,
group,2,GRAMMAR,Grammar,grammar,IN_WHO,Preposition + who (whom),Did you mean whom?,
single,,GRAMMAR,Grammar,grammar,IF_WOULD_HAVE_VBN,if I would have (if I had),Did you mean had \4?,
group,0,GRAMMAR,Grammar,grammar,FEWER_LESS,fewer with countable nouns (less),,
group,1,GRAMMAR,Grammar,grammar,FEWER_LESS,fewer with countable nouns (less),Did you mean fewer? The noun \2 is countable.,
group,2,GRAMMAR,Grammar,grammar,FEWER_LESS,fewer with countable nouns (less),Did you mean fewer? The noun \2 is countable.,
group,0,GRAMMAR,Grammar,grammar,DOES_YOU,does (do) I/you/we/they,Did you mean do? 'does' is only used for the third person singular (he/she/it).,
group,1,GRAMMAR,Grammar,grammar,DOES_YOU,does (do) I/you/we/they,Did you mean do? 'does' is only used for the third person singular (he/she/it).,
single,,GRAMMAR,Grammar,grammar,DO_VBZ,do you sings (sing),Consider using the base form .,
single,,GRAMMAR,Grammar,grammar,MD_BE_NON_VBP,could/should/must be does (done),Consider using the past participle ?,
single,,GRAMMAR,Grammar,grammar,DOES_NP_VBZ,'does' ... 3rd person verb (base verb),Did you mean ?,
single,,GRAMMAR,Grammar,grammar,IT_VBZ,'it' + non-3rd person verb,Did you mean ?,
group,0,GRAMMAR,Grammar,grammar,DID_PAST,'did' with past tense verb,Did you mean ?,
group,1,GRAMMAR,Grammar,grammar,DID_PAST,'did' with past tense verb,Did you mean ?,
group,0,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",,
group,1,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually not used at the beginning of a sentence.,
group,2,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually not used at the beginning of a sentence.,
group,3,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually not used at the end of a sentence.,
group,4,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually put after the verb '\3'.,
group,5,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually put after the verb '\3'.,
group,6,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\4' is usually put between '\1' and '\2'.,
group,7,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\1' is usually put between '\2' and '\3'.,
group,8,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\3' is usually put between '\1' and '\2'.,
group,9,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually put before the verb '\1'.,
group,10,GRAMMAR,Grammar,grammar,ADVERB_WORD_ORDER,"Word order: Wrong position of adverb, e.g. 'Always I am happy. (I am always happy.)'",The adverb '\2' is usually put between '\3' and '\4'.,
single,,GRAMMAR,Grammar,grammar,GOING_TO_VBD,Use of past form with 'going to ...','Going to' requires the base form: ,
group,0,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,"The verb  is usually not used with a continuous form, use the simple form instead.",
group,1,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,"The verb  is usually not used with a continuous form, use the simple form instead.",
group,2,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,"The verb  is usually not used with a continuous form, use the simple form instead.",
group,3,GRAMMAR,Grammar,grammar,NON_ACTION_CONTINUOUS,Use of continuous form with non-action verbs,"The verb  is usually not used with a continuous form, use the simple form instead.",
single,,GRAMMAR,Grammar,grammar,ON_FIRST_GLANCE,on (at) first glance,Did you mean at?,
group,0,GRAMMAR,Grammar,grammar,DONT_NEEDS,don't ... 3rd person verb,Did you mean ?,
group,1,GRAMMAR,Grammar,grammar,DONT_NEEDS,don't ... 3rd person verb,Did you mean ?,
single,,GRAMMAR,Grammar,grammar,DOES_X_HAS,does ... 3rd person verb,"Did you mean ? As 'do' is already inflected, the verb cannot also be inflected.",
single,,GRAMMAR,Grammar,grammar,A_RB_NN,Adverb instead of an adjective,"You used an adverb ('\2') instead an adjective, or a noun ('\3') instead of another adjective.",
group,0,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),Did you mean \1 me to?,
group,1,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),Did you mean \1 you to?,
group,2,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),Did you mean \1 him to?,
group,3,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),Did you mean \1 her to?,
group,4,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),Did you mean \1 us to?,
group,5,GRAMMAR,Grammar,grammar,WANT_THAT_I,want that I (want me to),Did you mean \1 them to?,
single,,GRAMMAR,Grammar,grammar,THE_SENT_END,Sentence ending with 'the' or 'a',Did you forget something after '\2'?,
single,,GRAMMAR,Grammar,grammar,THE_PUNCT,'The' or 'a' before a punctuation,Did you forget something after '\2'?,
single,,GRAMMAR,Grammar,grammar,PRP_RB_NO_VB,Verb missing after personal pronoun and adverb at beginning of sentence.,A verb is probably missing after '\3'.,
single,,GRAMMAR,Grammar,grammar,DONT_WILL,don't will (won't),Did you mean won't?,
single,,GRAMMAR,Grammar,grammar,HELP_TO_FIND,help to find (help find),This phrase is probably grammatically incorrect. Write help \2 find instead.,
group,0,GRAMMAR,Grammar,grammar,WAS_BEEN,was been (has been),Did you mean was or has been?,
group,1,GRAMMAR,Grammar,grammar,WAS_BEEN,was been (has been),Did you mean was not or has not been?,
group,2,GRAMMAR,Grammar,grammar,WAS_BEEN,was been (has been),Did you mean wasn't or hasn't been?,
single,,GRAMMAR,Grammar,grammar,LETS_DONT,let's don't (let's not),Substandard usage of 'let'. The standard is: \1\2\3 not.,
single,,GRAMMAR,Grammar,grammar,THESE_ONES,these/those ones (these/those),This phrase is probably grammatically incorrect. Write \1 instead.,
single,,GRAMMAR,Grammar,grammar,EACH_EVERY_NNS,'each' or 'every' with plural nouns,"'Each', 'every', 'either' and 'neither' are used with singular. Did you mean all?",
group,0,GRAMMAR,Grammar,grammar,AGREEMENT_THEIR_HIS,Possible agreement error: Each of them likes their (his/her),,
group,1,GRAMMAR,Grammar,grammar,AGREEMENT_THEIR_HIS,Possible agreement error: Each of them likes their (his/her),"'\2' is singular and thus takes a singular pronoun: his, her, his or her, its",
group,2,GRAMMAR,Grammar,grammar,AGREEMENT_THEIR_HIS,Possible agreement error: Each of them likes their (his/her),"'Each', 'every', 'either' and 'neither' are used with singular and thus take a singular pronoun: his, her, his or her, its",
group,0,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,1,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,2,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,3,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,4,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: are.,
group,5,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: were.,
group,6,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: are.,
group,7,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: were.,
group,8,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,9,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,10,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,11,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,12,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: are.,
group,13,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: were.,
group,14,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: are.,
group,15,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: were.,
group,16,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,17,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,18,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,19,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,20,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: are.,
group,21,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: were.,
group,22,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: are.,
group,23,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: were.,
group,24,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,25,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,26,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,27,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,28,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: are.,
group,29,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use: were.,
group,30,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: are.,
group,31,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: were.,
group,32,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use:  \3 or \2 .,
group,33,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: .,
group,34,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Possible agreement error. You should probably use: .,
group,35,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,36,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,37,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,You should probably use .,
group,38,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Please check whether 'Both' should be followed by a plural form: ,
group,39,GRAMMAR,Grammar,grammar,AGREEMENT_SENT_START,Possible agreement error: plural noun + singular verb,Please check whether 'Both of them' should be followed by a plural form: ,
group,0,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,You should probably use \3es.,
group,1,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,You should probably use .,
group,2,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,You should probably use .,
group,3,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,You should probably use .,
group,4,GRAMMAR,Grammar,grammar,AGREEMENT_QUESTION,agreement error: auxiliary verb (do/have) and subject in questions,You should probably use are or were.,
single,,GRAMMAR,Grammar,grammar,A_HUNDREDS,a hundreds (hundred),Possible agreement error. Consider using:  ,
group,0,GRAMMAR,Grammar,grammar,A_PLURAL,Agreement: 'a' + plural word,Don't use indefinite articles with plural words. Did you mean   or simply ?,
group,1,GRAMMAR,Grammar,grammar,A_PLURAL,Agreement: 'a' + plural word,Don't use indefinite articles with plural words. Did you mean ?,
single,,GRAMMAR,Grammar,grammar,ONE_PLURAL,Agreement: 'one' + plural word,"Don't use the numeral 'one' with plural words. Did you mean  , , or simply ?",
single,,GRAMMAR,Grammar,grammar,DIE_DICE,"one die, two dice",'die' is the singular form of 'dice'. Consider using die.,
single,,GRAMMAR,Grammar,grammar,FOOT_FEET,"one foot, two feet",'foot' is the singular form of 'feet'. Consider using foot.,
single,,GRAMMAR,Grammar,grammar,MAN_MEN,"one man, two men",'man' is the singular form of 'men'. Consider using man.,
single,,GRAMMAR,Grammar,grammar,WOMAN_WOMEN,"one woman, two women",'woman' is the singular form of 'women'. Consider using woman.,
group,0,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,Use past participle here: .,
group,1,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,Possible agreement error -- use past participle here: .,
group,2,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,Possible agreement error -- use past participle here: .,
group,3,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,Possible agreement error – use past participle here: .,
group,4,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,Possible agreement error – use past participle here: .,
group,5,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,Possible agreement error – use past participle here: .,
group,6,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,"Note:  is a past participle of ""wend"". Did you mean gone (past participle of ""go"")?",
group,7,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,"Note: ""went"" is a past participle of ""wend"". Did you mean gone (past participle of ""go"")?",
group,8,GRAMMAR,Grammar,grammar,HAVE_PART_AGREEMENT,Agreement: 'have' + past/present tense,"Note: ""went"" is a past participle of ""wend"". Did you mean gone (past participle of ""go"")?",
group,0,GRAMMAR,Grammar,grammar,BEEN_PART_AGREEMENT,Agreement: 'been' or 'was' + past tense,,
group,1,GRAMMAR,Grammar,grammar,BEEN_PART_AGREEMENT,Agreement: 'been' or 'was' + past tense,Consider using a past participle here: .,
group,2,GRAMMAR,Grammar,grammar,BEEN_PART_AGREEMENT,Agreement: 'been' or 'was' + past tense,Consider using a past participle here: .,
group,0,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,Consider using third-person verb forms for singular and mass nouns: .,
group,1,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,Consider using third-person verb forms for singular and mass nouns: .,
group,2,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,Possible agreement error - use third-person verb forms for singular and mass nouns: .,
group,3,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,Possible agreement error - use third-person verb forms for singular and mass nouns: .,
group,4,GRAMMAR,Grammar,grammar,MASS_AGREEMENT,Agreement: Mass/singular noun + non-third person verb,Possible agreement error - use third-person verb forms for singular and mass nouns: .,
