type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type,en_msg,zh_msg
single,,TYPOS,Possible Typo,misspelling,WAN_T,wan't (want),,<message>Did you mean <suggestion>\1\3</suggestion>?</message>,<message>你是说 <suggestion>\1\3</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,RE_CENT,re cent (recent),,<message>Did you mean <suggestion>recent</suggestion>?</message>,<message>你是说 <suggestion>recent</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,IF_WHICH,if which,,<message><suggestion>which</suggestion> should not follow <suggestion>if</suggestion>. Choose either one. Or did you forget a comma?</message>,"<message><suggestion>which</suggestion> 不应该跟在 <suggestion>if</suggestion> 之后. 选择其中一个, 或者你是否忘了加逗号?</message>"
single,,TYPOS,Possible Typo,misspelling,LOT_S,lot's of (lots of),,<message>Did you mean <suggestion>lots</suggestion>?</message>,<message>你是说 <suggestion>lots</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,GOOD_NEWS,the good new (news) is ...,,<message>Did you mean <suggestion>news</suggestion>?</message>,<message>你是说 <suggestion>news</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,A_BUT,a but (a bit),,<message>Did you mean <suggestion>a bit</suggestion>?</message>,<message>你是说 <suggestion>a bit</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,TOOL_LONG,tool long (too long),,<message>Did you mean <suggestion>too long</suggestion>?</message>,<message>你是说 <suggestion>too long</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,AN_THEN,an then (and then),,<message>Possible typo. Did you mean <suggestion>and \2</suggestion>?</message>,<message>可能出现的错误单词. 你是说 <suggestion>and \2</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,AH_HA,ah ha (aha),,<message>This word is normally written together: <suggestion>aha</suggestion>?</message>,<message>这个单词通常是连在一起写的 <suggestion>aha</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,A_WAS,a was (way),,<message>Did you mean <suggestion>way</suggestion>?</message>,<message>你是说 <suggestion>way</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,ALLTHOUGH,all though (although),,<message>Did you mean <suggestion>all through</suggestion>?</message>,<message>你是说 <suggestion>all through</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,ALLTHOUGH,all though (although),,<message>Did you mean <suggestion>although</suggestion>?</message>,<message>你是说 <suggestion>all through</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,ALSO_KNOW,also know (known),,<message>Did you mean <suggestion>known</suggestion>?</message>,<message>你是说 <suggestion>known</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,AS_OPPOSE_TO_AS_OPPOSED_TO,as oppose to (as opposed to),,<message>Did you mean <suggestion>as opposed to</suggestion>?</message>,<message>你是说 <suggestion>as opposed to</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,WHAT_HOW,How (What) is he like?,,<message>Did you mean <suggestion>What</suggestion>?</message>,<message>你是说 <suggestion>What</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,WHAT_HOW,How (What) is he like?,,<message>Did you mean <suggestion>What</suggestion>?</message>,<message>你是说 <suggestion>What</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,CONFUSION_OF_THEN_THAN,then (than),,<message>Did you mean <suggestion>than</suggestion>?</message>,<message>你是说 <suggestion>than</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,CONFUSION_OF_THEN_THAN,then (than),,<message>Did you mean <suggestion>than</suggestion>?</message>,<message>你是说 <suggestion>than</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,CONFUSION_OF_THESES_THESE,theses (these),,<message>Did you mean <suggestion>these</suggestion>?</message>,<message>你是说 <suggestion>these</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),,<message>Did you mean <suggestion>I</suggestion>?</message>,<message>你是说 <suggestion>I</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),,"<message>Did you mean <suggestion><match case_conversion=""startlower"" no=""4"" regexp_match=""I"" regexp_replace=""me"" /></suggestion>?</message>",<message>你是说 <suggestion>I</suggestion> 吗?</message>
group,2,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),,<message>Please check whether the nominative <suggestion>He</suggestion> should be used.</message>,<message>你是说 <suggestion>I</suggestion> 吗?</message>
group,3,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),,<message>Please check whether the nominative <suggestion>She</suggestion> should be used.</message>,<message>你是说 <suggestion>I</suggestion> 吗?</message>
group,4,TYPOS,Possible Typo,misspelling,CONFUSION_OF_ME_I,me (I),,<message>Did you mean <suggestion>I</suggestion>?</message>,<message>你是说 <suggestion>I</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,CONFUSION_OF_BEEN_BEING,been (being),,<message>Did you mean <suggestion>being</suggestion>?</message>,<message>你是说 <suggestion>being</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,CONFUSION_OF_BEEN_BEING,been (being),,<message>Did you mean <suggestion>being</suggestion>?</message>,<message>你是说 <suggestion>being</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,CONFUSION_OF_OUR_OUT,out (our),,<message>Did you mean <suggestion>our</suggestion>?</message>,<message>你是说 <suggestion>our</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,YOUR_SHOULD,your (you) should,,<message>Did you mean <suggestion>you</suggestion>?</message>,<message>你是说 <suggestion>you</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,THE_SOME_DAY,the some (same) day,,<message>Did you mean <suggestion>same</suggestion>?</message>,<message>你是说 <suggestion>same</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,MAKE_US_OF,make us (use) of,,<message>Did you mean <suggestion>use</suggestion>?</message>,<message>你是说 <suggestion>use</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,ON_OF_THE,on (one) of the most/least/...,,<message>Did you mean <suggestion>one</suggestion>?</message>,<message>你是说 <suggestion>one</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,ON_OF_THE,on (one) of the most/least/...,,<message>Did you mean <suggestion>one</suggestion>?</message>,<message>你是说 <suggestion>one</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,APART_A_PART,"apart of (a part of, apart from)",,,
group,1,TYPOS,Possible Typo,misspelling,APART_A_PART,"apart of (a part of, apart from)",,<message>Possible typo. Did you mean <suggestion>a part \3</suggestion> or <suggestion>apart from</suggestion>?</message>,
group,2,TYPOS,Possible Typo,misspelling,APART_A_PART,"apart of (a part of, apart from)",,<message>Wrong collocation. Did you mean <suggestion>apart from</suggestion>?</message>,
single,,TYPOS,Possible Typo,misspelling,APART_FORM,apart form (apart from),,<message>Possible typo. Did you mean <suggestion>apart from</suggestion>?</message>,<message>可能出现的错误单词。 你是说 <suggestion>apart from</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,UP_TO_DATA,up to data (date),,<message>Did you mean <suggestion>date</suggestion>?</message>,<message>你是说 <suggestion>date</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),,<message>Did you mean <suggestion>could</suggestion>?</message>,<message>你是说 <suggestion>could</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),,<message>Did you mean <suggestion>could</suggestion>?</message>,<message>你是说 <suggestion>could</suggestion> 吗?</message>
group,2,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),,<message>Did you mean <suggestion>Could</suggestion>?</message>,<message>你是说 <suggestion>could</suggestion> 吗?</message>
group,3,TYPOS,Possible Typo,misspelling,COLD_COULD,he cold do (he could do),,<message>Did you mean <suggestion>Could</suggestion>?</message>,<message>你是说 <suggestion>could</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,FEEL_TREE_TO,feel tree (free) to,,<message>Did you mean <suggestion>free</suggestion>?</message>,<message>你是说 <suggestion>free</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,EASIEST_WAS_TO,easiest was (way) to,,<message>Did you mean <suggestion>way</suggestion>?</message>,<message>你是说 <suggestion>way</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,ET_AL,et al (et al.),,<message>A dot is missing here: <suggestion>\1 \2.</suggestion></message>,<message>这里漏了一个点 <suggestion>\1 \2.</suggestion> </message>
group,1,TYPOS,Possible Typo,misspelling,ET_AL,et al (et al.),,<message>Misplaced dot: <suggestion>\1 \3\4</suggestion></message>,<message>这里漏了一个点 <suggestion>\1 \2.</suggestion> </message>
single,,TYPOS,Possible Typo,misspelling,ARE_STILL_THE_SOME,are still the some (same),,<message>Did you mean <suggestion>\1 still the same</suggestion> or <suggestion>\1 still some</suggestion>?</message>,<message>你是说 <suggestion>\1 still the same</suggestion> or <suggestion>\1 still some</suggestion> ?</message>
single,,TYPOS,Possible Typo,misspelling,DE_JURO,de juro (jure),,<message>This is an incorrect spelling of a Latin phrase. Did you mean <suggestion>de jure</suggestion> (according to law)?</message>,<message>这是一个拼写错误的拉丁短语。你是说 <suggestion>de jure</suggestion> （根据法律来说）吗?</message>
single,,TYPOS,Possible Typo,misspelling,I_THIN,I thin (think),,<message>Did you mean <suggestion>think</suggestion>?</message>,<message>你是说 <suggestion>think</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,SUPPOSE_TO,suppose to (supposed to),,<message>Probably you should use a past participle here: <suggestion>supposed</suggestion>.</message>,<message>这里很有可能要用过去分词: <suggestion>supposed</suggestion> 。</message>
single,,TYPOS,Possible Typo,misspelling,ALL_BE_IT,all be it (albeit),,<message>Did you mean <suggestion>albeit</suggestion> (=although)?</message>,<message>你是说 <suggestion>albeit</suggestion> (=尽管)吗?</message>
single,,TYPOS,Possible Typo,misspelling,ALL_OVER_THE_WORD,all over the word (all over the world),,<message>Did you mean <suggestion>\1 \2 \3 world</suggestion> (=globally)?</message>,<message>你是说 <suggestion>\1 \2 \3 world</suggestion> (=世界上)吗?</message>
single,,TYPOS,Possible Typo,misspelling,ANOTHER_WORDS,another words (in other words),,<message>Did you mean <suggestion>in other words</suggestion>?</message>,<message>你是说 <suggestion>in other words</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,BEING_BEGIN,being (begin),,<message>Did you mean <suggestion>begin</suggestion>?</message>,<message>你是说 <suggestion>begin</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,BEING_BEGIN,being (begin),,<message>Did you mean <suggestion>being</suggestion>?</message>,<message>你是说 <suggestion>begin</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,CA_PRP,ca I (can I),,<message>Possible typo. Did you mean <suggestion>can</suggestion>?</message>,<message>可能出现的错误单词。你是说 <suggestion>can</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,CA_PRP,ca I (can I),,<message>Possible typo. Did you mean <suggestion>can</suggestion>?</message>,<message>可能出现的错误单词。你是说 <suggestion>can</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,EYE_BROW,eye brow/lash/lid/sight/sore (eyebrow/eyelash/eyelid/eyesight/eyesore),,<message>This word is usually spelt together: <suggestion>\1\2</suggestion>.</message>,<message>这个单词通常连在一起拼 <suggestion>\1\2</suggestion> 。</message>
group,0,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,,<message>Did you mean <suggestion>in any form</suggestion>?</message>,<message>你是说 <suggestion>in any form</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,,<message>Did you mean <suggestion>form</suggestion>?</message>,<message>你是说 <suggestion>in any form</suggestion> 吗?</message>
group,2,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,,<message>Did you mean <suggestion>form</suggestion>?</message>,<message>你是说 <suggestion>in any form</suggestion> 吗?</message>
group,3,TYPOS,Possible Typo,misspelling,FROM_FORM,from/form,,<message>Did you mean <suggestion>from</suggestion>?</message>,<message>你是说 <suggestion>in any form</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,THERE_EXITS,there exits (there exists),,<message>Did you mean <suggestion>exists</suggestion>?</message>,<message>你是说 <suggestion>exists</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,HE_THE,he (the),,<message>Did you mean <suggestion>the</suggestion>?</message>,<message>你是说 <suggestion>the</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,THE_HOW,the how/why (how/why),,"<message>Did you mean <suggestion><match no=""2"" /></suggestion>?</message>","<message>你是说 <suggestion><match no=""2"" /></suggestion> 吗?</message>"
group,0,TYPOS,Possible Typo,misspelling,I_LOWERCASE,i'm (I'm),,<message>Did you mean <suggestion>I\2\3</suggestion>?</message>,<message>你是说 <suggestion>I\2\3</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,I_LOWERCASE,i'm (I'm),,<message>Did you mean <suggestion>I</suggestion>?</message>,<message>你是说 <suggestion>I\2\3</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,IN_JANUARY,in January 1 (on January 1),,<message>Did you mean <suggestion>on \2</suggestion>? This seems to be a day date.</message>,<message>你是说 <suggestion>on \2</suggestion> 吗？ 这似乎是一个日期。</message>
single,,TYPOS,Possible Typo,misspelling,IN_PARENTHESIS,in parenthesis (in parentheses),,<message>Did you mean <suggestion>in parentheses</suggestion>? 'parenthesis' is the singular.</message>,<message>你是说 <suggestion>in parentheses</suggestion> 吗？“parenthesis”是单数形式。</message>
single,,TYPOS,Possible Typo,misspelling,IN_STEAD_OF,in stead of (instead of),,<message>Did you mean <suggestion>\1\2 \3</suggestion>?</message>,<message>你是说 <suggestion>\1\2 \3</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,IN_TACT,in tact (intact),,<message>Did you mean <suggestion>intact</suggestion>?</message>,<message>你是说 <suggestion>intact</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,IT_SELF,it self (itself),,<message>Did you mean <suggestion>itself</suggestion>?</message>,<message>你是说 <suggestion>itself</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,VE_GO_TO,I've go to (I've got to),,<message>Did you mean <suggestion>got</suggestion>?</message>,<message>你是说 <suggestion>got</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,FOR_ALONG_TIME,for along time (for a long time),,<message>Did you mean <suggestion>for a long time</suggestion>?</message>,<message>你是说 <suggestion>for a long time</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,FOR_AWHILE,awhile (a while),,<message>Did you mean <suggestion>a while</suggestion>?</message>,<message>你是说 <suggestion>a while</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,FOR_AWHILE,awhile (a while),,<message>Did you mean <suggestion>a while</suggestion>?</message>,<message>你是说 <suggestion>a while</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,AWAY_FRO,away fro (away from),,<message>Did you mean <suggestion>away from</suggestion>?</message>,<message>你是说 <suggestion>away from</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,FOR_FRO,fro (for),,<message>Did you mean <suggestion>for</suggestion> or <suggestion>from</suggestion>?</message>,<message>你是说 <suggestion>for</suggestion> or <suggestion>from</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,HUMANS_BEINGS,humans beings (human beings),,<message>Possible typo. Did you mean: <suggestion>\1 \4</suggestion>?</message>,<message>可能出现的错误单词。你是说  <suggestion>\1 \4</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,HUMANS_BEINGS,humans beings (human beings),,<message>Possible typo. Did you mean: <suggestion>human \2</suggestion>?</message>,<message>可能出现的错误单词。你是说  <suggestion>\1 \4</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,LAST_BUT_NOT_LAST,last but not last (least),,<message>Possible typo. Did you mean: <suggestion>\1 \2 \3 least</suggestion>?</message>,<message>可能出现的错误单词。你是说 <suggestion>\1 \2 \3 least</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,HOUR_OUR,half an our (half an hour),,<message>Did you mean <suggestion>hour</suggestion> (=60 minutes)?</message>,<message>可能出现的错误单词。你是说 <suggestion>hour</suggestion> （=60分钟）?</message>
single,,TYPOS,Possible Typo,misspelling,ONE_IN_THE_SAME,one in the same (one and the same),,<message>Did you mean <suggestion>one and the same</suggestion>?</message>,<message>你是说 <suggestion>one and the same</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,ONE_THE_ONE_HAND,'One the one hand' (On the one hand),,<message>Did you mean <suggestion>on</suggestion>?</message>,<message>你是说 <suggestion>on</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,OTHER_WISE_OTHERWISE,other wise (otherwise),,<message>Did you mean <suggestion>otherwise</suggestion>?</message>,<message>你是说 <suggestion>otherwise</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,PER_SE,per say (per se),,"<message>Did you mean <suggestion>per se</suggestion> (=by itself, by themselves)?</message>",<message>你是说 <suggestion>per se</suggestion> (=它亲自，他们亲自)?</message>
single,,TYPOS,Possible Typo,misspelling,SOME_WHAT_JJ,some what (somewhat),,<message>Did you mean <suggestion>\1\2</suggestion> (=slightly)?</message>,<message>你是说 <suggestion>\1\2</suggestion> (=轻微地)?</message>
single,,TYPOS,Possible Typo,misspelling,STAND_ALONE_NN,stand alone (standalone),,<message>This world is usually written together in this context: <suggestion>\1\2</suggestion>.</message>,<message>在这个语境中这个单词通常连起来写： <suggestion>\1\2</suggestion> 。</message>
single,,TYPOS,Possible Typo,misspelling,UNDER_WEAR,under wear (underwear),,<message>Did you mean <suggestion>underwear</suggestion> (=underclothes)?</message>,<message>你是说 <suggestion>underwear</suggestion> (=内衣)吗?</message>
single,,TYPOS,Possible Typo,misspelling,WHERE_AS,where as/by (whereas/whereby),,<message>Did you mean <suggestion>\1\2</suggestion>?</message>,<message>你是说 <suggestion>\1\2</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,WITHOUT_OUT,without out (without),,<message>Did you mean <suggestion>without</suggestion>?</message>,<message>你是说 <suggestion>without</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,YOUR_S,your's (yours),,<message>Did you mean <suggestion>\1</suggestion> or <suggestion>\1\3</suggestion>?</message>,<message>你是说 <suggestion>\1</suggestion> or <suggestion>\1\3</suggestion> ?</message>
single,,TYPOS,Possible Typo,misspelling,YOURS_APOSTROPHE,Possessive pronoun with apostrophe,,<message>An apostrophe is never used to form possessive case pronouns. Did you mean: <suggestion>\2</suggestion>?</message>,<message>所有格形式没有用在代词之后。 你是说: <suggestion>\2</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,CD_WEEK_S,Number + 'week's time' (weeks' time),,<message>The apostrophe is probably in the wrong place here. Did you mean <suggestion>\1 \2\4\3 \5</suggestion>?</message>,<message>这里很有可能不该用所有格。你是说 <suggestion>\1 \2\4\3 \5</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,CD_APOSTROPHE_S,Spurious apostrophe in plural forms,,"<message>Incorrect plural form; it does not need any apostrophe. Did you mean <suggestion><match no=""2"" />s</suggestion>?</message>","<message>错误的复数形式；不该用所有格。你是说 <suggestion><match no=""2"" />s</suggestion> 吗?</message>"
group,1,TYPOS,Possible Typo,misspelling,CD_APOSTROPHE_S,Spurious apostrophe in plural forms,,"<message>Incorrect plural form; it does not need any apostrophe. Did you mean <suggestion><match no=""2"" />s</suggestion>?</message>","<message>错误的复数形式；不该用所有格。你是说 <suggestion><match no=""2"" />s</suggestion> 吗?</message>"
single,,TYPOS,Possible Typo,misspelling,TOT_HE,tot he (to the),,<message>Did you mean <suggestion>to the</suggestion>?</message>,<message>你是说 <suggestion>to the</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,TANK_YOU,tank (thank) you,,<message>Did you mean <suggestion>thank</suggestion>?</message>,<message>你是说 <suggestion>thank</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,TANK_YOU,tank (thank) you,,<message>Did you mean <suggestion>thanks</suggestion>?</message>,<message>你是说 <suggestion>thank</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,FILED_WITH,filed (filled) with,,<message>Did you mean <suggestion>filled</suggestion>?</message>,<message>你是说 <suggestion>filled</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,WITH_OUT,with out (without),,<message>This word is usually written together. Did you mean <suggestion>without</suggestion>?</message>,<message>这个单词通常连在一起写。你是说 <suggestion>without</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,IT_IS_NO,it is no (not/now),,<message>Did you mean <suggestion>not</suggestion> or <suggestion>now</suggestion>?</message>,<message>你是说 <suggestion>not</suggestion> or <suggestion>now</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,IT_IS_NO,it is no (not/now),,<message>Did you mean <suggestion>not</suggestion> or <suggestion>now</suggestion>?</message>,<message>你是说 <suggestion>not</suggestion> or <suggestion>now</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,NO_NOT,no (not),,<message>Did you mean <suggestion>not</suggestion>?</message>,<message>你是说 <suggestion>not</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,ALLOT_OF,allot of (a lot of),,<message>Did you mean <suggestion>a lot of</suggestion> (=plenty)?</message>,<message>你是说 <suggestion>a lot of</suggestion> (=大量的)吗?</message>
group,0,TYPOS,Possible Typo,misspelling,ALL_READY,all ready (already),,<message>Did you mean <suggestion>already</suggestion>?</message>,<message>你是说 <suggestion>already</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,ALL_READY,all ready (already),,<message>Did you mean <suggestion>already</suggestion>?</message>,<message>你是说 <suggestion>already</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,ALL_MOST,all most (almost),,<message>Did you mean <suggestion>almost</suggestion>?</message>,<message>你是说 <suggestion>almost</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,ANALYSIS_IF,analysis if (of),,<message>Did you mean <suggestion>of</suggestion>?</message>,<message>你是说 <suggestion>of</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,IF_IS,if it if (is),,<message>Did you mean <suggestion>is</suggestion>?</message>,<message>你是说 <suggestion>is</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,IF_IS,if it if (is),,<message>Did you mean <suggestion>is</suggestion>?</message>,<message>你是说 <suggestion>is</suggestion> 吗?</message>
